agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2,senate_requestor4
Department of Health & Human Services,576000,,S,,,,Cantwell,,,
Department of Education,397000,,S,,,,Cantwell,,,
Department of Education,500000,,S,,,,Cantwell,,,
Department of Education,1500000,,S,,,,Cantwell,,,
Department of Education,750000,,S,,,,Cantwell,,,
Department of Health & Human Services,581000,,S,,,,Cantwell, Murray,,
DOJ,300000,,S,,,,Capito, Manchin,,
DOJ,750000,,S,,,,Capito, Manchin,,
DOJ,1750000,,S,,,,Capito, Manchin,,
DOJ,4000000,,S,,,,Capito, Manchin,,
DOJ,1001000,,S,,,,Capito, Manchin,,
Rural Development,111000,,S,,,,Capito, Manchin,,
Rural Development,462000,,S,,,,Capito, Manchin,,
Army Corps of Engineers (Civil),546000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,495840,WV,H/S,Miller ,,,Capito,Manchin,,
DOJ,219000,WV,H/S,Miller ,,,Capito,,,
DOJ,4000,WV,H/S,Miller ,,,Capito,,,
Department of Housing and Urban Development,4688000,WV,H/S,Miller ,,,Capito,,,
Department of Labor,300000,WV,H/S,Miller ,,,Capito,,,
Department of Health & Human Services,300000,WV,H/S,Miller ,,,Capito,,,
Department of Housing and Urban Development,250000,WV,S,Miller ,,,Capito,,,
Department of Health & Human Services,580000,,H/S,McKinley,,,Capito, Manchin,,
DOC,385000,,S,,,,Capito,,,
DOJ,1000000,,S,,,,Capito,,,
DOJ,150000,,S,,,,Capito,,,
DOJ,33000,,S,,,,Capito,,,
DOJ,118000,,S,,,,Capito,,,
DOC,705000,,S,,,,Capito,,,
NASA,800000,,S,,,,Capito,,,
NASA,3000000,,S,,,,Capito,,,
FEMA,955000,,S,,,,Capito,,,
FEMA,708000,,S,,,,Capito,,,
Department of Transportation,1000000,,S,,,,Capito,,,
Department of Housing and Urban Development,250000,,S,,,,Capito,,,
Department of Housing and Urban Development,400000,,S,,,,Capito,,,
Department of Housing and Urban Development,415000,,S,,,,Capito,,,
Department of Housing and Urban Development,500000,,S,,,,Capito,,,
Department of Housing and Urban Development,620000,,S,,,,Capito,,,
Department of Housing and Urban Development,622000,,S,,,,Capito,,,
Department of Housing and Urban Development,637000,,S,,,,Capito,,,
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,
Department of Housing and Urban Development,1750000,,S,,,,Capito,,,
Department of Housing and Urban Development,1957000,,S,,,,Capito,,,
Department of Housing and Urban Development,100000,,S,,,,Capito,,,
Department of Housing and Urban Development,473000,,S,,,,Capito,,,
Department of Housing and Urban Development,600000,,S,,,,Capito,,,
Department of Housing and Urban Development,788000,,S,,,,Capito,,,
Department of Housing and Urban Development,835000,,S,,,,Capito,,,
Department of Housing and Urban Development,850000,,S,,,,Capito,,,
Department of Housing and Urban Development,850000,,S,,,,Capito,,,
Department of Housing and Urban Development,925000,,S,,,,Capito,,,
Department of Housing and Urban Development,936000,,S,,,,Capito,,,
Department of Housing and Urban Development,990000,,S,,,,Capito,,,
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,
Department of Housing and Urban Development,1194000,,S,,,,Capito,,,
Department of Housing and Urban Development,1475000,,S,,,,Capito,,,
Department of Housing and Urban Development,1500000,,S,,,,Capito,,,
Department of Housing and Urban Development,2268000,,S,,,,Capito,,,
Department of Housing and Urban Development,2393000,,S,,,,Capito,,,
Rural Development,328000,,S,,,,Capito,,,
Department of Energy,1000000,,S,,,,Capito,,,
Army Corps of Engineers (Civil),1668000,,S,,,,Capito,,,
Department of Energy,2959000,,S,,,,Capito,,,
Army Corps of Engineers (Civil),3110000,,S,,,,Capito,,,
Army Corps of Engineers (Civil),6900000,,S,,,,Capito,,,
National Park Service,150000,,S,,,,Capito,,,
Environmental Protection Agency,283000,,S,,,,Capito,,,
Small Business Administration,300000,,S,,,,Capito, Manchin,,
National Park Service,500000,,S,,,,Capito, Manchin,,
National Park Service,500000,,S,,,,Capito, Manchin,,
Small Business Administration,570000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,646000,,S,,,,Capito,,,
Environmental Protection Agency,669000,,S,,,,Capito, Manchin,,
Department of Transportation,850000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,860000,,S,,,,Capito,,,
Small Business Administration,1000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,1000000,,S,,,,Capito,,,
Environmental Protection Agency,1000000,,S,,,,Capito,,,
Environmental Protection Agency,1416000,,S,,,,Capito,,,
Environmental Protection Agency,1444000,,S,,,,Capito,,,
Small Business Administration,1500000,,S,,,,Capito,,,
Environmental Protection Agency,1500000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,1600000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,2000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,2000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,2000000,,S,,,,Capito,,,
Environmental Protection Agency,2158000,,S,,,,Capito,,,
Environmental Protection Agency,2500000,,S,,,,Capito,,,
Environmental Protection Agency,2747000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,2888000,,S,,,,Capito,,,
Environmental Protection Agency,3000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,3000000,,S,,,,Capito, Manchin,,
Department of Transportation,3121000,,S,,,,Capito, Manchin,,
Department of Transportation,3300000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,4020000,,S,,,,Capito,,,
Environmental Protection Agency,4037000,,S,,,,Capito,,,
Environmental Protection Agency,4800000,,S,,,,Capito,,,
Department of Transportation,5000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,5230000,,S,,,,Capito,,,
Environmental Protection Agency,6880000,,S,,,,Capito,,,
Environmental Protection Agency,7578000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,8000000,,S,,,,Capito, Manchin,,
Environmental Protection Agency,10269000,,S,,,,Capito,,,
Environmental Protection Agency,22470000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,5000000,,S,,,,Capito,,,
Department of Health & Human Services,6000000,,S,,,,Capito,,,
Department of Health & Human Services,1600000,,S,,,,Capito,,,
Department of Health & Human Services,495000,,S,,,,Capito,,,
Department of Health & Human Services,5500000,,S,,,,Capito,,,
Department of Health & Human Services,262000,,S,,,,Capito,,,
Department of Health & Human Services,300000,,S,,,,Capito,,,
Department of Health & Human Services,500000,,S,,,,Capito,,,
Department of Health & Human Services,1000000,,S,,,,Capito,,,
Department of Education,1500000,,S,,,,Capito,,,
Department of Education,92000,,S,,,,Capito,,,
Department of Education,70000,,S,,,,Capito,,,
Department of Education,135000,,S,,,,Capito,,,
Department of Labor,500000,,S,,,,Capito, Manchin,,
Department of Labor,4500000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,267000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,5000000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,500000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,850000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,5000000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,1200000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,786000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,4000000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,1250000,,S,,,,Capito, Manchin,,
Department of Health & Human Services,4961000,,S,,,,Capito, Manchin,,
Department of Education,36000,,S,,,,Capito, Manchin,,
Natural Resources Conservation Service,2184000,,S,,,,Cardin, Casey,,
Department of Health & Human Services,850000,,H,"Raskin, Trone",,,Cardin,,,
Department of Housing and Urban Development,2400000,,H/S,Sarbanes,,,Cardin,,,
Department of Labor,750000,,H/S,"Ruppersberger, Sarbanes",,,Cardin,,,
Department of Education,1250000,,H/S,Mfume,,,Cardin,,,
DOJ,650000,,S,,,,Cardin,,,
DOJ,650000,,S,,,,Cardin,,,
DOJ,2000000,,S,,,,Cardin,,,
DOC,120000,,S,,,,Cardin,,,
DOC,95000,,S,,,,Cardin,,,
FEMA,409000,,S,,,,Cardin,,,
Department of Transportation,5000000,,S,,,,Cardin,,,
Department of Transportation,5000000,,S,,,,Cardin,,,
Department of Housing and Urban Development,250000,,S,,,,Cardin,,,
Department of Housing and Urban Development,251000,,S,,,,Cardin,,,
Department of Housing and Urban Development,400000,,S,,,,Cardin,,,
Department of Housing and Urban Development,1000000,,S,,,,Cardin,,,
Department of Housing and Urban Development,1000000,,S,,,,Cardin,,,
Department of Housing and Urban Development,1400000,,S,,,,Cardin,,,
Department of Housing and Urban Development,3000000,,S,,,,Cardin,,,
DOC,150000,,S,,,,Cardin,,,
DOJ,834000,,S,,,,Cardin,,,
Army Corps of Engineers (Civil),8000,,S,,,,Cardin,,,
Army Corps of Engineers (Civil),390000,,S,,,,Cardin,,,
Army Corps of Engineers (Civil),5750000,,S,,,,Cardin,,,
Environmental Protection Agency,500000,,S,,,,Cardin,,,
Environmental Protection Agency,700000,,S,,,,Cardin,,,
Environmental Protection Agency,2000000,,S,,,,Cardin,,,
National Park Service,2000000,,S,,,,Cardin,,,
Small Business Administration,2250000,,S,,,,Cardin,,,
Small Business Administration,3000000,,S,,,,Cardin,,,
Department of Labor,500000,,S,,,,Cardin,,,
Department of Health & Human Services,83000,,S,,,,Cardin,,,
Department of Health & Human Services,5000000,,S,,,,Cardin,,,
Department of Health & Human Services,1150000,,S,,,,Cardin,,,
Department of Health & Human Services,917000,,S,,,,Cardin,,,
Department of Education,1550000,,S,,,,Cardin,,,
Department of Health & Human Services,2889000,,S,,,,Cardin,,,
Department of Education,750000,,S,,,,Cardin,,,
Department of Education,350000,,S,,,,Cardin,,,
DOJ,1600000,,H/S,Blunt Rochester,,,Carper, Coons,,
DOJ,1900000,,H/S,Blunt Rochester,,,Carper, Coons,,
DOC,3000000,,S,,,,Carper, Coons,,
Rural Development,100000,,S,,,,Carper, Coons,,
DOJ,749000,,S,,,,Carper, Coons,,
DOC,1290000,,S,,,,Carper, Coons,,
NASA,900000,,S,,,,Carper, Coons,,
Army Corps of Engineers (Civil),1200000,,S,,,,Carper, Coons,,
Department of Energy,2000000,,S,,,,Carper, Coons,,
Army Corps of Engineers (Civil),4000000,,S,,,,Carper, Coons,,
Department of Energy,5000000,,S,,,,Carper, Coons,,
Army Corps of Engineers (Civil),7650000,,S,,,,Carper, Coons,,
Air NG,17500000,,H/S,Blunt Rochester,,,Carper, Coons,,
Department of Health & Human Services,350000,,H/S,Blunt Rochester,,,Carper, Coons,,
Department of Housing and Urban Development,100000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,485000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,500000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,750000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,750000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,1500000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,2000000,,S,,,,Carper, Coons,,
Department of Housing and Urban Development,10000000,,S,,,,Carper, Coons,,
Environmental Protection Agency,80000,,S,,,,Carper, Coons,,
Small Business Administration,500000,,S,,,,Carper, Coons,,
National Park Service,500000,,S,,,,Carper, Coons,,
Small Business Administration,1050000,,S,,,,Carper, Coons,,
Department of Transportation,1120000,,S,,,,Carper, Coons,,
Environmental Protection Agency,1200000,,S,,,,Carper, Coons,,
Environmental Protection Agency,4800000,,S,,,,Carper,,,
Department of Health & Human Services,100000,,S,,,,Carper,,,
Department of Labor,1060000,,S,,,,Carper, Coons,,
Department of Health & Human Services,680000,,S,,,,Carper, Coons,,
Department of Health & Human Services,337000,,S,,,,Carper, Coons,,
Department of Health & Human Services,5000000,,S,,,,Carper, Coons,,
Department of Health & Human Services,2000000,,S,,,,Carper, Coons,,
Department of Health & Human Services,3500000,,S,,,,Carper, Coons,,
Department of Education,215000,,S,,,,Carper, Coons,,
Department of Education,250000,,S,,,,Carper, Coons,,
Department of Education,300000,,S,,,,Carper, Coons,,
Department of Education,163000,,S,,,,Carper, Coons,,
Department of Education,1016000,,S,,,,Carper, Coons,,
Department of Health & Human Services,1125000,PA,H/S,Thompson ,,,Casey,,,
Department of Housing and Urban Development,975000,,H,Scanlon,,,Casey,,,
Department of Housing and Urban Development,1865624,,H,Houlahan,,,Casey,,,
Department of Housing and Urban Development,1500000,,H,Scanlon,,,Casey,,,
Department of Housing and Urban Development,2900000,,H,Wild,,,Casey,,,
Department of Housing and Urban Development,1400000,,H,Wild,,,Casey,,,
Department of Transportation,750000,,H/S,"Houlahan, Meuser",,,Casey,,,
Department of Housing and Urban Development,1000000,,H/S,Evans,,,Casey,,,
DOJ,400000,,H/S,Dean,,,Casey,,,
Department of Health & Human Services,1210000,,H/S,Reschenthaler,,,Casey,,,
NASA,160000,,S,,,,Casey,,,
FEMA,320000,,S,,,,Casey,,,
FEMA,184000,,S,,,,Casey,,,
Department of Transportation,1000000,,S,,,,Casey,,,
Department of Transportation,2000000,,S,,,,Casey,,,
Department of Transportation,635000,,S,,,,Casey,,,
Department of Housing and Urban Development,500000,,S,,,,Casey,,,
Department of Housing and Urban Development,500000,,S,,,,Casey,,,
Department of Housing and Urban Development,500000,,S,,,,Casey,,,
Department of Housing and Urban Development,650000,,S,,,,Casey,,,
Department of Housing and Urban Development,750000,,S,,,,Casey,,,
Department of Housing and Urban Development,950000,,S,,,,Casey,,,
Department of Housing and Urban Development,1000000,,S,,,,Casey,,,
Department of Housing and Urban Development,1468000,,S,,,,Casey,,,
Rural Development,250000,,S,,,,Casey,,,
Natural Resources Conservation Service,1063000,,S,,,,Casey,,,
NASA,70000,,S,,,,Casey,,,
Department of Energy,2100000,,S,,,,Casey,,,
Army Corps of Engineers (Civil),12800000,,S,,,,Casey,,,
Small Business Administration,200000,,S,,,,Casey,,,
Small Business Administration,250000,,S,,,,Casey,,,
Small Business Administration,350000,,S,,,,Casey,,,
Environmental Protection Agency,376000,,S,,,,Casey,,,
Small Business Administration,400000,,S,,,,Casey,,,
Small Business Administration,400000,,S,,,,Casey,,,
Small Business Administration,400000,,S,,,,Casey,,,
National Park Service,500000,,S,,,,Casey,,,
National Park Service,500000,,S,,,,Casey,,,
Department of Transportation,500000,,S,,,,Casey,,,
Department of Transportation,750000,,S,,,,Casey,,,
Environmental Protection Agency,1000000,,S,,,,Casey,,,
Department of Transportation,1000000,,S,,,,Casey,,,
Environmental Protection Agency,2200000,,S,,,,Casey,,,
Department of Labor,500000,,S,,,,Casey,,,
Department of Labor,1000000,,S,,,,Casey,,,
Department of Labor,1000000,,S,,,,Casey,,,
Department of Labor,675000,,S,,,,Casey,,,
Department of Health & Human Services,268000,,S,,,,Casey,,,
Department of Health & Human Services,530000,,S,,,,Casey,,,
Department of Health & Human Services,23000,,S,,,,Casey,,,
Department of Health & Human Services,1900000,,S,,,,Casey,,,
Department of Health & Human Services,400000,,S,,,,Casey,,,
Department of Health & Human Services,400000,,S,,,,Casey,,,
Department of Health & Human Services,60000,,S,,,,Casey,,,
Department of Health & Human Services,220000,,S,,,,Casey,,,
Department of Education,1000000,,S,,,,Casey,,,
Department of Education,1000000,,S,,,,Casey,,,
Department of Education,75000,,S,,,,Casey,,,
Department of Education,160000,,S,,,,Casey,,,
Department of Education,231000,,S,,,,Casey,,,
Army Corps of Engineers (Civil),10000000,LA,H/S,Higgins ,,,Cassidy,,,
Air Force,36000000,LA,H/S,Johnson ,,,Cassidy,,,
Army Corps of Engineers (Civil),19333000,LA,H/S,Graves, Scalise,,Cassidy,,,
Army Corps of Engineers (Civil),300000,,H/S,Scalise,,,Cassidy,,,
NASA,5000000,,H/S,Scalise,,,Cassidy,,,
DOC,435000,,S,,,,Cassidy,,,
Department of Housing and Urban Development,6000000,,S,,,,Cassidy,,,
Department of Energy,9000000,,S,,,,Cassidy,,,
Environmental Protection Agency,500000,,S,,,,Cassidy,,,
Department of Transportation,1200000,,S,,,,Cassidy,,,
Environmental Protection Agency,8000000,,S,,,,Cassidy,,,
Department of Health & Human Services,1000000,,S,,,,Cassidy,,,
Department of Health & Human Services,7000000,,S,,,,Cassidy,,,
Department of Health & Human Services,250000,,S,,,,Cassidy,,,
DOC,765000,,H/S,Pingree,,,Collins, King,,
Rural Development,388888,,S,,,,Collins, King,,
DOJ,900000,,S,,,,Collins, King,,
Army Corps of Engineers (Civil),100000,,S,,,,Collins, King,,
Department of Energy,2000000,,S,,,,Collins, King,,
Department of Housing and Urban Development,411710,,H/S,Golden,,,Collins, King,,
Department of Housing and Urban Development,700000,,H/S,Pingree,,,Collins, King,,
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins, King,,
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins, King,,
Department of Housing and Urban Development,1700000,,H/S,Pingree,,,Collins, King,,
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins,,,
Environmental Protection Agency,1700000,,H/S,Golden,,,Collins, King,,
Department of Labor,1000000,,H/S,Golden,,,Collins, King,,
Department of Labor,1000000,,H/S,Golden,,,Collins, King,,
Department of Health & Human Services,650000,,H/S,Pingree,,,Collins, King,,
Department of Health & Human Services,265000,,H/S,Pingree,,,Collins, King,,
Department of Health & Human Services,690000,,H/S,Pingree,,,Collins, King,,
DOJ,250000,,S,,,,Collins,,,
DOC,10000000,,S,,,,Collins,,,
FEMA,850000,,S,,,,Collins,,,
Department of Transportation,1000000,,S,,,,Collins,,,
Department of Transportation,12960000,,S,,,,Collins, King,,
