,position,total
2260,FIREFIGHTER 16,3
2261,FIREFIGHTER 17,3
2262,FIREFIGHTER 18,3
2263,FIREFIGHTER 19,3
2264,FIREFIGHTER 1A,11
2265,FIREFIGHTER 1ST RESP,2
2266,FIREFIGHTER 2,7
2267,FIREFIGHTER 2.5%,2
2268,FIREFIGHTER 20,3
2269,FIREFIGHTER 21,3
2270,FIREFIGHTER 22,3
2271,FIREFIGHTER 23,3
2272,FIREFIGHTER 24,3
2273,FIREFIGHTER 24 HOURS,183
2274,FIREFIGHTER 24 HRS,71
2275,FIREFIGHTER 25,3
2276,FIREFIGHTER 26,3
2277,FIREFIGHTER 27,2
2278,FIREFIGHTER 28,2
2279,FIREFIGHTER 29,2
2280,FIREFIGHTER 3,7
2281,FIREFIGHTER 30,2
2282,FIREFIGHTER 31,1
2283,FIREFIGHTER 32,1
2284,FIREFIGHTER 4,7
2285,FIREFIGHTER 4%,1
2286,FIREFIGHTER 40 HRS,33
2287,FIREFIGHTER 5,7
2288,FIREFIGHTER 53 HRS,16
2289,FIREFIGHTER 56 HOUR WEEK,4
2290,FIREFIGHTER 56 HR. WEEK,31
2291,FIREFIGHTER 56.3,1
2292,FIREFIGHTER 6,7
2293,FIREFIGHTER 7,7
2294,FIREFIGHTER 8,7
2295,FIREFIGHTER 80 HOURS,2
2296,FIREFIGHTER 80 HR,1
2297,FIREFIGHTER 9,6
2298,FIREFIGHTER A,7
2299,FIREFIGHTER ADMIN CAPTAIN,1
2300,FIREFIGHTER AND BUSINESS COORD,1
2301,FIREFIGHTER AND BUSINESS COORDINATOR,1
2302,FIREFIGHTER AND EMS,1
2303,FIREFIGHTER AND FIRE INSPECTOR,2
2304,FIREFIGHTER AND PARAMEDIC,16
2305,FIREFIGHTER APPARATUS ENGINEER,6
2306,FIREFIGHTER APPARATUS ENGINEER PARAMEDIC,2
2307,FIREFIGHTER APPARATUS OPERATOR (VOLUNTEER),2
2308,FIREFIGHTER APPRENTICE,11
2309,FIREFIGHTER APPRENTICE/EMT,1
2310,FIREFIGHTER APPRENTICE/PARAMEDIC,1
2311,FIREFIGHTER BASE,137
2312,FIREFIGHTER BASE + 10% EDU,5
2313,FIREFIGHTER BASE + 5% EDU,5
2314,FIREFIGHTER BASE ONLY,84
2315,FIREFIGHTER BASE SALARY,30
2316,FIREFIGHTER BATTALION CHIEF,1
2317,FIREFIGHTER CAPTAIN,7
2318,FIREFIGHTER CHIEF,1
2319,FIREFIGHTER CL4,2
2320,FIREFIGHTER E,24
2321,FIREFIGHTER EMERG MED TECH,1
2322,FIREFIGHTER EMERGENCY MEDICAL MEDICAL TECHNICIAN (VOLUNTEER),2
2323,FIREFIGHTER EMERGENCY MEDICAL TECH,2
2324,FIREFIGHTER EMERGENCY MEDICAL TECHNICIAN,55
2325,FIREFIGHTER EMERGENCY MEDICAL TECHNICIAN (VOLUNTEER),19
2326,FIREFIGHTER EMT,97
2327,FIREFIGHTER EMT  I,1
2328,FIREFIGHTER EMT (VOLUNTEER),2
2329,FIREFIGHTER EMT - PART TIME,6
2330,FIREFIGHTER EMT FULL TIME,3
2331,FIREFIGHTER EMT I,5
2332,FIREFIGHTER EMT PART TIME,9
2333,FIREFIGHTER EMT PT,8
2334,FIREFIGHTER EMT RESERVE,1
2335,FIREFIGHTER EMT(VOLUNTEER),1
2336,FIREFIGHTER ENGINEER,535
2337,FIREFIGHTER ENGINEER /ACTING CAPTAIN,5
2338,FIREFIGHTER FULL TIME,1
2339,FIREFIGHTER HAZMAT EMT,3
2340,FIREFIGHTER HM,1
2341,FIREFIGHTER I,885
2342,FIREFIGHTER I 24 HOUR-TRAINING PREMIUM,2
2343,FIREFIGHTER I 24 HOURS,117
2344,FIREFIGHTER I 80 HOURS,14
2345,FIREFIGHTER I CAPTAIN VOLUNTEER,1
2346,FIREFIGHTER I/EMERGENCY MEDICAL TECHNICIAN B,13
2347,FIREFIGHTER I/EMERGENCY MEDICAL TECHNICIAN-B,1
2348,FIREFIGHTER I/EMT B,12
2349,FIREFIGHTER I/FIREFIGHTER I LATERAL,35
2350,FIREFIGHTER I/MET B,4
2351,FIREFIGHTER I/PARAMEDIC,24
2352,FIREFIGHTER II,2319
2353,FIREFIGHTER II 24 HOURS,204
2354,FIREFIGHTER II 80 HOURS,1
2355,FIREFIGHTER II TRAINING DIVISION,3
2356,FIREFIGHTER II-40 HR WK,1
2357,FIREFIGHTER II-40 HR WORK,1
2358,FIREFIGHTER II-RETIREE,1
2359,FIREFIGHTER II/FIREFIGHTER II LATERAL,120
2360,FIREFIGHTER III,16284
2361,FIREFIGHTER INTERN,49
2362,FIREFIGHTER IV,45
2363,FIREFIGHTER L,4
2364,FIREFIGHTER LATERAL,14
2365,FIREFIGHTER LIMIT TERM,1
2366,FIREFIGHTER LIMITED TERM,25
2367,FIREFIGHTER LL,90
2368,FIREFIGHTER LLL,1999
2369,FIREFIGHTER LTD TERM,2
2370,FIREFIGHTER LV,1
2371,FIREFIGHTER MECHANIC,18
2372,FIREFIGHTER MEDIC,147
2373,FIREFIGHTER MICP FULL TIME,4
2374,FIREFIGHTER MICP PART TIME,4
2375,FIREFIGHTER OES TEMPORARY,27
2376,FIREFIGHTER ON CALL,17
2377,FIREFIGHTER PAID CALL,66
2378,FIREFIGHTER PARAMEDIC,2044
2379,FIREFIGHTER PARAMEDIC (40 HOUR),11
2380,FIREFIGHTER PARAMEDIC (56 HOUR),489
2381,FIREFIGHTER PARAMEDIC (VOLUNTEER,1
2382,FIREFIGHTER PARAMEDIC (VOLUNTEER),2
2383,FIREFIGHTER PARAMEDIC - 12.5 EMT,13
2384,FIREFIGHTER PARAMEDIC - FULL-TIME,1
2385,FIREFIGHTER PARAMEDIC - PART TIME,1
2386,FIREFIGHTER PARAMEDIC 112,260
2387,FIREFIGHTER PARAMEDIC 4,7
2388,FIREFIGHTER PARAMEDIC 5,19
2389,FIREFIGHTER PARAMEDIC A,32
2390,FIREFIGHTER PARAMEDIC B,125
2391,FIREFIGHTER PARAMEDIC BI,1
2392,FIREFIGHTER PARAMEDIC C,74
2393,FIREFIGHTER PARAMEDIC C 40 HR,2
2394,FIREFIGHTER PARAMEDIC CAPTAIN,1
2395,FIREFIGHTER PARAMEDIC F/T,3
2396,FIREFIGHTER PARAMEDIC I,22
2397,FIREFIGHTER PARAMEDIC II,129
2398,FIREFIGHTER PARAMEDIC PT,2
2399,FIREFIGHTER PARAMEDIC RECRUIT (40 HOUR),2
2400,FIREFIGHTER PARAMEDIC RECRUIT (56 HOUR),9
2401,FIREFIGHTER PARAMEDIC-12.5 EMT,20
2402,FIREFIGHTER PARAMEDIC-8HR,4
2403,FIREFIGHTER PARAMEDIC/BILINGUAL,1
2404,FIREFIGHTER PART TIME,364
2405,FIREFIGHTER PART-TIME,19
2406,FIREFIGHTER PERM PT,3
2407,FIREFIGHTER PM - 56,21
2408,FIREFIGHTER PROB,1
2409,FIREFIGHTER PROBATIONARY,1
2410,FIREFIGHTER PT,27
2411,FIREFIGHTER RECRUIT,302
2412,FIREFIGHTER RECRUIT BASE,1
2413,FIREFIGHTER RESERVE,31
2414,FIREFIGHTER SEASONAL,443
2415,FIREFIGHTER SEASONAL I,169
2416,FIREFIGHTER SEASONAL II,128
2417,FIREFIGHTER SEASONAL/OES,1
2418,FIREFIGHTER SHIFT,692
2419,FIREFIGHTER SHIFT HRS,9
2420,FIREFIGHTER SNL,1
2421,FIREFIGHTER SNL + STRIKETEAM,2
2422,FIREFIGHTER SPECIALIST,627
2423,FIREFIGHTER SR,2
2424,FIREFIGHTER STAFF,23
2425,FIREFIGHTER STEP 1,2
2426,FIREFIGHTER STEP 2,1
2427,FIREFIGHTER STEP 3,1
2428,FIREFIGHTER STEP 4,2
2429,FIREFIGHTER STEP E,7
2430,FIREFIGHTER TEMP,11
2431,FIREFIGHTER TEMP.,8
2432,FIREFIGHTER TEMPORARY,5
2433,FIREFIGHTER TIER 2,5
2434,FIREFIGHTER TIER 3,3
2435,FIREFIGHTER TIER1,9
2436,FIREFIGHTER TIER2,5
2437,FIREFIGHTER TRAINEE,327
2438,FIREFIGHTER TRAINEE (40 HR),5
2439,FIREFIGHTER TRAINEE (40 HR.),13
2440,FIREFIGHTER TRAINEE - DAYS,12
2441,FIREFIGHTER TYPE 2,22
2442,FIREFIGHTER V,186
2443,FIREFIGHTER VI,40
2444,FIREFIGHTER VOLUNTEER,355
2445,FIREFIGHTER W/ PARAMEDIC ASNMT,22
2446,FIREFIGHTER W/ PM BONUS,19
2447,FIREFIGHTER WITH PARAMEDIC ASSIGNMENT,26
2448,FIREFIGHTER(56HRS),85
2449,FIREFIGHTER(PT),1
2450,FIREFIGHTER(VOLUNTEER),53
2451,FIREFIGHTER+3.75%,1
2452,FIREFIGHTER+5%,3
2453,FIREFIGHTER+5.%,2
2454,FIREFIGHTER+6.25%,2
2455,FIREFIGHTER+7.5%,6
2456,FIREFIGHTER+8.75%,2
2457,"FIREFIGHTER, 7.5%",34
2458,"FIREFIGHTER, CAPTAIN",26
2459,"FIREFIGHTER, EMT - VOLUNTEER",8
2460,"FIREFIGHTER, ENGINEER",6
2461,"FIREFIGHTER, P/T",1
2462,"FIREFIGHTER, PARAMEDIC",1
2463,"FIREFIGHTER, PARAMEDIC, 3%",2
2464,"FIREFIGHTER, PARAMEDIC, 7.5%",65
2465,"FIREFIGHTER, PART TIME",28
2466,"FIREFIGHTER, TEMPORARY",7
2467,"FIREFIGHTER, VOLUNTEER",232
2468,FIREFIGHTER- EMERGENCY MEDICAL TECHNICIAN,2
2469,FIREFIGHTER- PARAMEDIC,4
2470,FIREFIGHTER- PART TIME,1
2471,FIREFIGHTER- VOLUNTEER,8
2472,FIREFIGHTER-40/HR,2
2473,FIREFIGHTER-A,51
2474,FIREFIGHTER-BILINGUAL,2
2475,FIREFIGHTER-C,807
2476,FIREFIGHTER-C-A,30
2477,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN,12
2478,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN A-3,2
2479,FIREFIGHTER-EMERGENCY MEDICAL TECHNICIAN B-6,5
2480,FIREFIGHTER-EMT,27
2481,FIREFIGHTER-EMT A-3,8
2482,FIREFIGHTER-EMT B-6,12
2483,FIREFIGHTER-EMT Y-RATE #1,1
2484,FIREFIGHTER-ENGINEER,58
2485,FIREFIGHTER-ENGINEER-EMERGENCY MEDICAL TECHNICIAN A-6,2
2486,FIREFIGHTER-ENGINEER-EMERGENCY MEDICAL TECHNICIAN B-6,2
2487,FIREFIGHTER-ENGINEER-EMT A-6,4
2488,FIREFIGHTER-ENGINEER-EMT B-6,4
2489,FIREFIGHTER-FO&PARA5+12,3
2490,FIREFIGHTER-FOC 4%,3
2491,FIREFIGHTER-FOC 5%,5
2492,FIREFIGHTER-FT,1
2493,FIREFIGHTER-FULL TIME,2
2494,FIREFIGHTER-INTERN,6
2495,FIREFIGHTER-MECHANIC,1
2496,FIREFIGHTER-PANOCHE VALLEY,6
2497,FIREFIGHTER-PARA,99
2498,FIREFIGHTER-PARA 12%,6
2499,FIREFIGHTER-PARAMEDIC,744
2500,FIREFIGHTER-PARAMEDIC / ENGINEER / EMT,13
2501,FIREFIGHTER-PARAMEDIC A-3,6
2502,FIREFIGHTER-PARAMEDIC A-6,37
2503,FIREFIGHTER-PARAMEDIC B-6,12
2504,FIREFIGHTER-PARAMEDIC RECRUIT,39
2505,FIREFIGHTER-PARAMEDIC RELIEF,7
2506,FIREFIGHTER-PARAMEDIC TRAINEE,35
2507,FIREFIGHTER-PARAMEDIC Y-RATE #10,10
2508,FIREFIGHTER-PARAMEDIC Y-RATE #3,2
2509,FIREFIGHTER-PARAMEDIC-BILINGUAL,1
2510,FIREFIGHTER-PARAMEDIC/40 HOUR,6
2511,FIREFIGHTER-PARAMEDIC/56 HOUR,438
2512,FIREFIGHTER-PART TIME,33
2513,FIREFIGHTER-PARTIME,1
2514,FIREFIGHTER-RECRUIT,99
2515,FIREFIGHTER-SCHED B,8
2516,FIREFIGHTER-SEASONAL,1
2517,FIREFIGHTER-SHIFT HRS,18
2518,FIREFIGHTER-SPECIAL DISTRICT,6
2519,FIREFIGHTER-SR.,1
2520,FIREFIGHTER-STRIKE TEAM,6
2521,FIREFIGHTER-VOLUNTEER,224
2522,FIREFIGHTER. PAID CALL,4
2523,FIREFIGHTER/ ENGINEER TRAINEE,8
2524,FIREFIGHTER/ PAID CALL,1
2525,FIREFIGHTER/ PARAMED,2
2526,FIREFIGHTER/ PARAMEDIC,129
2527,FIREFIGHTER/ PARAMEDIC II,32
2528,FIREFIGHTER/40,4
2529,FIREFIGHTER/40 HOUR,1
2530,FIREFIGHTER/56 HOUR,462
2531,FIREFIGHTER/56.3,286
2532,FIREFIGHTER/AA,8
2533,FIREFIGHTER/ACTING FIRE CAPTAIN,4
2534,FIREFIGHTER/BA,12
2535,FIREFIGHTER/BB,2
2536,FIREFIGHTER/BUREAU,1
2537,FIREFIGHTER/BUREAU/INSPECTOR,5
2538,FIREFIGHTER/CAPTAIN,1
2539,FIREFIGHTER/CHAIRMAN,1
2540,FIREFIGHTER/CHIEF,1
2541,FIREFIGHTER/CONTRACT,3
2542,FIREFIGHTER/EMERGENCY MED,2
2543,FIREFIGHTER/EMERGENCY MEDICAL TECHNICIAN,16
2544,FIREFIGHTER/EMERGENCY MEDICAL TECHNICIAN B,2
2545,FIREFIGHTER/EMS,14
2546,FIREFIGHTER/EMT,142
2547,FIREFIGHTER/EMT (VOLUNTEER),46
2548,FIREFIGHTER/EMT A,3
2549,FIREFIGHTER/EMT B,7
2550,FIREFIGHTER/EMT I,3
2551,FIREFIGHTER/EMT RESERVE,3
2552,FIREFIGHTER/EMT-1,15
2553,FIREFIGHTER/EMT/PART,11
2554,FIREFIGHTER/ENG - ACTING CAPTAIN,3
2555,FIREFIGHTER/ENGINEER,267
2556,FIREFIGHTER/ENGINEER /PT,17
2557,FIREFIGHTER/ENGINEER I,18
2558,FIREFIGHTER/ENGINEER II,11
2559,FIREFIGHTER/ENGINEER PT,49
2560,FIREFIGHTER/ENGINEER STEP 5,9
2561,FIREFIGHTER/ENGINEER/CAPT.,1
2562,FIREFIGHTER/FIRE CHIEF (STIPEND),1
2563,FIREFIGHTER/FIRE MECHANIC,1
2564,FIREFIGHTER/HAZ MAT,1
2565,FIREFIGHTER/HAZ MAT I,5
2566,FIREFIGHTER/HAZ MAT II,4
2567,FIREFIGHTER/LIEUTENANT,2
2568,FIREFIGHTER/LIEUTENANT EXTRA HELP,4
2569,FIREFIGHTER/LT/MICP,2
2570,FIREFIGHTER/MAINTENANCE,1
2571,FIREFIGHTER/MECHANIC,7
2572,FIREFIGHTER/MEDIC,11
2573,FIREFIGHTER/MEDIC (INACTIVE),13
2574,FIREFIGHTER/MEDIC I,3
2575,FIREFIGHTER/MEDIC II,1
2576,FIREFIGHTER/MEDIC IV,1
2577,FIREFIGHTER/MEDIC/A,3
2578,FIREFIGHTER/MEDIC/HAZMAT,4
2579,FIREFIGHTER/MEDIC/HAZMAT I,3
2580,FIREFIGHTER/MEDIC/HAZMAT II,8
2581,FIREFIGHTER/MEDIC/HM I,1
2582,FIREFIGHTER/MEDIC/HM II,2
2583,FIREFIGHTER/MET B,1
2584,FIREFIGHTER/MICP/FULL,8
2585,FIREFIGHTER/MICP/PART,2
2586,FIREFIGHTER/OES,2
2587,FIREFIGHTER/OPERATOR,63
2588,FIREFIGHTER/PAID CALL,130
2589,FIREFIGHTER/PARA,73
2590,FIREFIGHTER/PARAMED,10
2591,FIREFIGHTER/PARAMEDI,7
2592,FIREFIGHTER/PARAMEDIC,5614
2593,FIREFIGHTER/PARAMEDIC  NCFA,109
2594,FIREFIGHTER/PARAMEDIC (112 HR),92
2595,FIREFIGHTER/PARAMEDIC (80 HR),1
2596,FIREFIGHTER/PARAMEDIC (VOLUNTEER),2
2597,FIREFIGHTER/PARAMEDIC (W/ FLSA),46
2598,FIREFIGHTER/PARAMEDIC - A,32
2599,FIREFIGHTER/PARAMEDIC - BI,1
2600,FIREFIGHTER/PARAMEDIC - C,1
2601,FIREFIGHTER/PARAMEDIC 80,2
2602,FIREFIGHTER/PARAMEDIC A,2
2603,FIREFIGHTER/PARAMEDIC B,5
2604,FIREFIGHTER/PARAMEDIC CL2,2
2605,FIREFIGHTER/PARAMEDIC CL3,3
2606,FIREFIGHTER/PARAMEDIC CL4,1
2607,FIREFIGHTER/PARAMEDIC CL5,4
2608,FIREFIGHTER/PARAMEDIC COORDINA,2
2609,FIREFIGHTER/PARAMEDIC COORDINATOR,8
2610,FIREFIGHTER/PARAMEDIC F/T,2
2611,FIREFIGHTER/PARAMEDIC I,108
2612,FIREFIGHTER/PARAMEDIC II,121
2613,FIREFIGHTER/PARAMEDIC III,65
2614,FIREFIGHTER/PARAMEDIC PROB,3
2615,FIREFIGHTER/PARAMEDIC PT,1
2616,FIREFIGHTER/PARAMEDIC TRAINEE,21
2617,FIREFIGHTER/PARAMEDIC VOLUNTEER,116
2618,FIREFIGHTER/PARAMEDIC-BILINGUAL,1
2619,FIREFIGHTER/PARAMEDIC-SPEC DIST,3
2620,FIREFIGHTER/PARAMEDIC/ENGINEER STEP 5,11
2621,FIREFIGHTER/PART-TIME OFFICE,1
2622,FIREFIGHTER/PC,2
2623,FIREFIGHTER/PC + STRIKE TEAM,13
2624,FIREFIGHTER/PC/SNL+STRIKE TM,1
2625,FIREFIGHTER/PC/SNL/CPT.CVG,1
2626,FIREFIGHTER/PCF,12
2627,FIREFIGHTER/PCF/OES,6
2628,FIREFIGHTER/PERMIT TECH,1
2629,FIREFIGHTER/SEASONAL,7
2630,FIREFIGHTER/SLEEPER,12
2631,FIREFIGHTER/SNL + STRIKE TEAM,1
2632,FIREFIGHTER/STRIKE TEAM,15
2633,FIREFIGHTER/STRIKE TEAM CAPTAIN,1
2634,FIREFIGHTER/TRAINEE,30
2635,FIREFIGHTER/VOLUNTEER,101
2636,FIREFIGHTER1,1
2637,FIREFIGHTER10,1
2638,FIREFIGHTER11,1
2639,FIREFIGHTER12,1
2640,FIREFIGHTER13,1
2641,FIREFIGHTER2,1
2642,FIREFIGHTER3,1
2643,FIREFIGHTER4,1
2644,FIREFIGHTER5,1
2645,FIREFIGHTER6,1
2646,FIREFIGHTER7,1
2647,FIREFIGHTER8,1
2648,FIREFIGHTER9,1
2649,FIREFIGHTERS,18
2650,FIREFIGHTERS-STRIKE TEAM,1
2651,FIREFIGHTR-SPECIAL DISTRICT,3
2652,FIREFIGHTR/PARAMEDIC,5
2653,FIREFIGHTR/PARAMEDIC-SPEC DIST,6
2654,FIREFIGHTTER / PAID CALL/OES,1
2655,FIREFIGNTER/PARAMEDIC,20
2656,FIREFIGTHER (VOLUNTEER),19
2657,FIREMAN,458
2658,FIREMAN (VOLUNTEER),18
2659,FIREMAN II,1
2660,FIREMAN-VOLUNTEER,2
2661,FIREMAN/PARAMEDIC,7
2662,FORMER FIRE CHIEF,1
2663,FULL-TIME FIREFIGHTER,1
2664,GENERAL MANAGER FIRE & POLICE PENSION SYSTEM,2
2665,GENERAL MANAGER FIRE AND POLICE PENSION SYSTEM,1
2666,"GEO INFO SYS ANALYST, FIRE",5
2667,H/FIRE SWORN,1
2668,HAMM RANCH FIRE ZONE CSA4,28
2669,HARBOR PATROL OFFICER/FIREFIGH,5
2670,HARBOR PATROL OFFICER/FIREFIGHT,3
2671,HARBOR PATROL OFFICER/FIREFIGHTER,17
2672,HAZ MAT FIRE INSPECTOR,7
2673,"HAZARDOUS MATERIAL CONTROL MANAGER, FIRE",7
2674,"HAZARDOUS MATERIAL CONTROL MGR,FIRE",3
2675,HAZARDOUS MATERIAL FIRE INSPECTOR,1
2676,HAZARDOUS MATERIALS FIRE INSPECTOR,2
2677,HAZMAT FIRE INSPECTOR,1
2678,HEAD FIRE DISPATCHER,10
2679,"HEAD, PLAN & EXECUTIVE SUPPORT, FIRE",3
2680,"HEAD, PLAN & EXECUTIVE SUPPORT,FIRE",7
2681,"HEAD,PLANNING & EXEC SUPPORT,FIRE",1
2682,"HEALTH PROGRAM ADMINISTRATOR, RN-FIRE",2
2683,"HEALTH PROGRAM ADMINISTRATOR,RN-FIRE",5
2684,HEAVY FIRE APPARATUS MECHANIC,12
2685,HEAVY FIRE APPARATUS SUPERVISOR,4
2686,HEAVY FIRE EQUIPMENT OPERATOR,6
2687,HOURLY FIRE OFFICE ASSISTANT,1
2688,HOURLY OFFICE ASSISTANT (FIRE),1
2689,HOURLY/FIRE SWORN,2
2690,INCOMING FIRE CHIEF,2
2691,INDEPENDENT ASSESSOR FIRE COMMISSION,10
2692,"INSP, FIRE DEPARTMENT",36
2693,"INSP, FIRE DEPT",93
2694,"INSP, FIRE DEPT.",81
2695,"INSPECTOR, BUR OF FIRE PREVENTION & PUBLIC SAFETY",26
2696,"INSPECTOR, BUREAU OF FIRE PREVENTION AND PUBLIC SA",20
2697,"INSPECTOR, FIRE DEPARTMENT",22
2698,INTERIM DEPUTY FIRE CHIEF,1
2699,INTERIM DEPUTY FIRE MARSHALL,1
2700,INTERIM FIRE CAPTAIN,10
2701,INTERIM FIRE CHIEF,65
2702,INTERIM FIRE CHIEF (PT),4
2703,INTERIM FIRE CHIEF - PT,1
2704,INTERIM FIRE CHIEF(PT),1
2705,INTERIM FIRE DEPUTY CHIEF,3
2706,INTERIM FIRE ENGINEER,1
2707,INTERIM FIRE MARSHAL,3
2708,INTERIM FIRE MARSHALL,4
2709,INTERM FIRE CHIEF/TEMP,1
2710,INTERMITTEN FIRE ENGINEER,4
2711,INTERMITTENT FIRE ENGINEER,5
2712,INTERN - FIRE,2
2713,INTERN FIRE FIGHTER,7
2714,INTERN FIREFIGHTER,57
2715,INTERN-FIRE,1
2716,INTERN/FIREFIGHTER,8
2717,"INVESTIGATOR, BUREAU OF FIRE INVESTIGATI",9
2718,"INVESTIGATOR, BUREAU OF FIRE INVESTIGATION",4
2719,"INVESTIGATOR, FIRE DEPARTMENT",12
2720,"INVESTIGATOR, FIRE DEPT.",2
2721,"INVSTGTOR,FIRE DEPT",19
2722,"INVSTGTOR,FIRE DEPT.",12
2723,JUNIOR FIREMAN,8
2724,K715 FIRE PREV OFFICER,15
2725,LEAD FIRE EQUIPMENT MECHANIC,9
2726,"LIEUT,FIRE INVSTGTN",1
2727,"LIEUT,FIRE PREV",65
2728,LIEUTENANT - FIRE PREVENTION OFFICER,9
2729,LIEUTENANT FIREFIGHTER,9
2730,LIEUTENANT OF FIRE DEPARTMENT,607
2731,"LIEUTENANT, (FIRE DEPARTMENT)",200
2732,"LIEUTENANT, BUR OF FIRE PREVENTION & PUBLIC SAFETY",7
2733,"LIEUTENANT, BUREAU OF FIRE PREVENTION AND PUBLIC S",8
2734,"LIEUTENANT, FIRE DEPARTMENT",169
2735,"LIEUTENANT, FIRE PREV",9
2736,"LIEUTENANT, FIRE PREVENTION",10
2737,"LIEUTENANT, FIRE SUPPRESSION",1555
2738,LIMITED TERM FIRE APPARATUS ENGINEER,11
2739,LIMITED TERM FIRE FIGHTER,6
2740,LIMITED TERM FIRE MECHANIC,1
2741,LIMITED TERM FIREFIGHTER,43
2742,LIMITED TERM FIREFIGHTER PARAMEDIC,6
2743,LIMITED TERM FIREFIGHTER-P/T,2
2744,LIMITED TERM FIREFIGHTER/PARAMEDIC,7
2745,LTD TERM FIREFIGHTER,7
2746,MANAGER-FIRE PREVENTION SERVICES,5
2747,MANAGER-FIRE PREVENTION SVCS,6
2748,MARINE ENGINEER OF FIRE BOATS,49
2749,MEASM FIREFIGHTER ENGINEER PEPRA,1
2750,MEASURE M FIRE CAPTAIN,18
2751,MEASURE M FIRE FIGHTER,17
2752,MEASURE M FIRE FIGHTER ENGINEER,18
2753,MEASURE M FIRE FIGHTER PEPRA,8
2754,MEASURE M FIREFIGHTER,2
2755,MEASURE M FIREFIGHTER PEPRA,2
2756,MISC FIRE-5CALL,15
2757,MISC HOURLY - FIRE,2
2758,MISC HOURLY - FIRE PREV,2
2759,MISCELLANEOUS FIRE-5CALL,4
2760,MISCELLANEOUS HOURLY - FIRE,7
2761,MISCELLANEOUS HOURLY - FIRE PREV,1
2762,MISCELLANEOUS HOURLY - FIRE PREVENTION,1
2763,"MISCELLANEOUS HOURLY, FIRE",7
2764,MONTEZUMA FIRE SUP,16
2765,MONTEZUMA FIRE-ADMIN,3
2766,MONTEZUMA FIRE-FIRE SUPPRESSION,20
2767,MONTEZUMA FIRE-FIRE SUPPRSSIO,7
2768,MONTEZUMA FIRE-RESERVE FIRE SUPPORT,30
2769,MONTEZUMA FIRE-RESV FIRE SUPP,30
2770,MUTUAL AID FIREFIGHTER,8
2771,N/R ADMINISTRATIVE TEMP - FIRE,2
2772,N/R PAID-CALL FIRE FIGHTER,124
2773,OFFICE ASSISTANT II PDM FIRE,10
2774,OFFICE ASSISTANT II PER DIEM FIRE,1
2775,OFFICE ASSISTANT II/FIRE PREV,4
2776,OFIREFIGHTERICE ASSISTANT II,1
2777,OFIREFIGHTERICE TECHNICIAN I,2
2778,ON CALL FIREFIGHTER,2
2779,ON-CALL FIRE FIGHTER,15
2780,ON-CALL SEASONAL FIREFIGHTER,9
2781,P.T. FIRE CAPTAIN,1
2782,P/T FIRE CAPTAIN,4
2783,P/T FIRE ENGINEER I,2
2784,P/T FIRE ENGINEER II,24
2785,P/T FIRE INSPECTOR,14
2786,P/T FIRE INTERN,1
2787,P/T FIRE MECHANIC,1
2788,P/T FIREFIGHTER,1
2789,P/T FIREFIGHTER TEMP,1
2790,PAID CALL  FIRE FIGHTER,6
2791,PAID CALL FIRE CAPTAIN,4
2792,PAID CALL FIRE CAPTAIN (PT),1
2793,PAID CALL FIRE ENGINEER,1
2794,PAID CALL FIRE FIGHTER,204
2795,PAID CALL FIRE FIGHTER PARAMEDIC,2
2796,PAID CALL FIRE FIGHTER/PARAMEDIC,2
2797,PAID CALL FIRE PARAMEDIC,2
2798,PAID CALL FIREFIGHTER,1429
2799,PAID CALL FIREFIGHTER (PT),2
2800,PAID CALL FIREFIGHTER ENTRY,11
2801,PAID CALL FIREFIGHTER FIREFIGHTER,15
2802,PAID CALL FIREFIGHTER I,19
2803,PAID CALL FIREFIGHTER II,5
2804,PAID CALL FIREFIGHTER III,4
2805,PAID CALL FIREFIGHTER OFFICER,3
2806,PAID CALL FIREFIGHTER PARAMEDIC,12
2807,PAID CALL FIREFIGHTER PM,1
2808,PAID CALL FIREFIGHTER/PARAMEDIC,5
2809,PAID CALL RESERVE FIREFIGHTER,55
2810,PAID CALL VOLUNTEER FIREFIGHTER,76
2811,PAID FIRE FIGHTER,1
2812,PAID PER CALL  / FIREFIGHTER 56 HR,1
2813,PAID PER CALL / FIREFIGHTER 56 HR. WEEK,1
2814,PAID-CALL FIREFIGHTER,598
2815,PAID-CALL FIREFIGHTERS,15
2816,PAID/CALL FIREFIGHTER,78
2817,PARAMED/FIREFIGHTER,12
2818,PARAMEDIC / FIREFIGHTER,8
2819,PARAMEDIC FIREFIGHTER,646
2820,PARAMEDIC FIREFIGHTER - OS,5
2821,PARAMEDIC II/FIRE FIGHTER,4
2822,PARAMEDIC-FIREFIGHTER,35
2823,PARAMEDIC-FIREFIGHTER I,1
2824,PARAMEDIC-FIREFIGHTER II,1
2825,PARAMEDIC-FIREFIGHTER III,1
2826,PARAMEDIC-FIREFIGHTER IV,1
2827,PARAMEDIC-FIREFIGHTER L,1
2828,PARAMEDIC-FIREFIGHTER LL,1
2829,PARAMEDIC-FIREFIGHTER LLL,1
2830,PARAMEDIC-FIREFIGHTER LV,1
2831,PARAMEDIC-FIREFIGHTER V,2
2832,PARAMEDIC/FIRE FIGHTER,49
2833,PARAMEDIC/FIREFIGHTER,701
