agency,amount,state,origin,house_requestor,house_requestor2,house_requestor3,senate_requestor,senate_requestor2,senate_requestor2.1,senate_requestor4,party
Department of Education,75000,,H,DelBene,,,Cantwell,,,,D
DOJ,1500000,,H/S,Herrera Beutler,,,Cantwell,,,,R
Department of Transportation,3000000,,H/S,Strickland,,,Cantwell,,,,D
Department of Housing and Urban Development,3000000,,H/S,Kilmer,,,Cantwell,,,,D
Department of Housing and Urban Development,500000,,H/S,Strickland,,,Cantwell,,,,D
Department of Housing and Urban Development,500000,,H/S,Strickland,,,Cantwell,,,,D
Rural Development,900000,,H/S,Kilmer,,,Cantwell,,,,D
Rural Development,210000,,H/S,DelBene,,,Cantwell,,,,D
Department of Health & Human Services,3500000,,H/S,Schrier,,,Cantwell,Murray,,,D
DOJ,915000,,S,,,,Cantwell,,,,D
DOJ,292000,,S,,,,Cantwell,,,,D
Department of Transportation,1000000,,S,,,,Cantwell,,,,D
Department of Transportation,2500000,,S,,,,Cantwell,Murray,,,D
Department of Transportation,2600000,,S,,,,Cantwell,,,,D
Department of Transportation,2500000,,S,,,,Cantwell,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Cantwell,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Cantwell,Murray,,,D
Rural Development,413000,,S,,,,Cantwell,,,,D
Rural Development,1275000,,S,,,,Cantwell,,,,D
DOJ,300000,,S,,,,Cantwell,,,,D
Department of the Interior,950000,,S,,,,Cantwell,,,,D
Army Corps of Engineers (Civil),5000000,,S,,,,Cantwell,,,,D
Environmental Protection Agency,800000,,S,,,,Cantwell,,,,D
Environmental Protection Agency,2000000,,S,,,,Cantwell,,,,D
Environmental Protection Agency,2500000,,S,,,,Cantwell,,,,D
Department of Transportation,2500000,,S,,,,Cantwell,,,,D
Department of Transportation,2500000,,S,,,,Cantwell,Murray,,,D
Department of Health & Human Services,812000,,S,,,,Cantwell,,,,D
Department of Health & Human Services,350000,,S,,,,Cantwell,,,,D
Department of Health & Human Services,2500000,,S,,,,Cantwell,,,,D
Department of Health & Human Services,576000,,S,,,,Cantwell,,,,D
Department of Education,397000,,S,,,,Cantwell,,,,D
Department of Education,500000,,S,,,,Cantwell,,,,D
Department of Education,1500000,,S,,,,Cantwell,,,,D
Department of Education,750000,,S,,,,Cantwell,,,,D
Department of Health & Human Services,581000,,S,,,,Cantwell,Murray,,,D
DOJ,300000,,S,,,,Capito,Manchin,,,R
DOJ,750000,,S,,,,Capito,Manchin,,,R
DOJ,1750000,,S,,,,Capito,Manchin,,,R
DOJ,4000000,,S,,,,Capito,Manchin,,,R
DOJ,1001000,,S,,,,Capito,Manchin,,,R
Rural Development,111000,,S,,,,Capito,Manchin,,,R
Rural Development,462000,,S,,,,Capito,Manchin,,,R
Army Corps of Engineers (Civil),546000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,495840,WV,H/S,Miller,,,Capito,Manchin,,,R
DOJ,219000,WV,H/S,Miller,,,Capito,,,,R
DOJ,4000,WV,H/S,Miller,,,Capito,,,,R
Department of Housing and Urban Development,4688000,WV,H/S,Miller,,,Capito,,,,R
Department of Labor,300000,WV,H/S,Miller,,,Capito,,,,R
Department of Health & Human Services,300000,WV,H/S,Miller,,,Capito,,,,R
Department of Housing and Urban Development,250000,WV,S,Miller,,,Capito,,,,R
Department of Health & Human Services,580000,,H/S,McKinley,,,Capito,Manchin,,,R
DOC,385000,,S,,,,Capito,,,,R
DOJ,1000000,,S,,,,Capito,,,,R
DOJ,150000,,S,,,,Capito,,,,R
DOJ,33000,,S,,,,Capito,,,,R
DOJ,118000,,S,,,,Capito,,,,R
DOC,705000,,S,,,,Capito,,,,R
NASA,800000,,S,,,,Capito,,,,R
NASA,3000000,,S,,,,Capito,,,,R
FEMA,955000,,S,,,,Capito,,,,R
FEMA,708000,,S,,,,Capito,,,,R
Department of Transportation,1000000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,250000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,400000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,415000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,500000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,620000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,622000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,637000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1750000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1957000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,100000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,473000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,600000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,788000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,835000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,850000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,850000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,925000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,936000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,990000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1000000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1194000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1475000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,1500000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,2268000,,S,,,,Capito,,,,R
Department of Housing and Urban Development,2393000,,S,,,,Capito,,,,R
Rural Development,328000,,S,,,,Capito,,,,R
Department of Energy,1000000,,S,,,,Capito,,,,R
Army Corps of Engineers (Civil),1668000,,S,,,,Capito,,,,R
Department of Energy,2959000,,S,,,,Capito,,,,R
Army Corps of Engineers (Civil),3110000,,S,,,,Capito,,,,R
Army Corps of Engineers (Civil),6900000,,S,,,,Capito,,,,R
National Park Service,150000,,S,,,,Capito,,,,R
Environmental Protection Agency,283000,,S,,,,Capito,,,,R
Small Business Administration,300000,,S,,,,Capito,Manchin,,,R
National Park Service,500000,,S,,,,Capito,Manchin,,,R
National Park Service,500000,,S,,,,Capito,Manchin,,,R
Small Business Administration,570000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,646000,,S,,,,Capito,,,,R
Environmental Protection Agency,669000,,S,,,,Capito,Manchin,,,R
Department of Transportation,850000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,860000,,S,,,,Capito,,,,R
Small Business Administration,1000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,1000000,,S,,,,Capito,,,,R
Environmental Protection Agency,1000000,,S,,,,Capito,,,,R
Environmental Protection Agency,1416000,,S,,,,Capito,,,,R
Environmental Protection Agency,1444000,,S,,,,Capito,,,,R
Small Business Administration,1500000,,S,,,,Capito,,,,R
Environmental Protection Agency,1500000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,1600000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,2000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,2000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,2000000,,S,,,,Capito,,,,R
Environmental Protection Agency,2158000,,S,,,,Capito,,,,R
Environmental Protection Agency,2500000,,S,,,,Capito,,,,R
Environmental Protection Agency,2747000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,2888000,,S,,,,Capito,,,,R
Environmental Protection Agency,3000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,3000000,,S,,,,Capito,Manchin,,,R
Department of Transportation,3121000,,S,,,,Capito,Manchin,,,R
Department of Transportation,3300000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,4020000,,S,,,,Capito,,,,R
Environmental Protection Agency,4037000,,S,,,,Capito,,,,R
Environmental Protection Agency,4800000,,S,,,,Capito,,,,R
Department of Transportation,5000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,5230000,,S,,,,Capito,,,,R
Environmental Protection Agency,6880000,,S,,,,Capito,,,,R
Environmental Protection Agency,7578000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,8000000,,S,,,,Capito,Manchin,,,R
Environmental Protection Agency,10269000,,S,,,,Capito,,,,R
Environmental Protection Agency,22470000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,5000000,,S,,,,Capito,,,,R
Department of Health & Human Services,6000000,,S,,,,Capito,,,,R
Department of Health & Human Services,1600000,,S,,,,Capito,,,,R
Department of Health & Human Services,495000,,S,,,,Capito,,,,R
Department of Health & Human Services,5500000,,S,,,,Capito,,,,R
Department of Health & Human Services,262000,,S,,,,Capito,,,,R
Department of Health & Human Services,300000,,S,,,,Capito,,,,R
Department of Health & Human Services,500000,,S,,,,Capito,,,,R
Department of Health & Human Services,1000000,,S,,,,Capito,,,,R
Department of Education,1500000,,S,,,,Capito,,,,R
Department of Education,92000,,S,,,,Capito,,,,R
Department of Education,70000,,S,,,,Capito,,,,R
Department of Education,135000,,S,,,,Capito,,,,R
Department of Labor,500000,,S,,,,Capito,Manchin,,,R
Department of Labor,4500000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,267000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,5000000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,500000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,850000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,5000000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,1200000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,786000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,4000000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,1250000,,S,,,,Capito,Manchin,,,R
Department of Health & Human Services,4961000,,S,,,,Capito,Manchin,,,R
Department of Education,36000,,S,,,,Capito,Manchin,,,R
Natural Resources Conservation Service,2184000,,S,,,,Cardin,Casey,,,D
Department of Health & Human Services,850000,,H,"Raskin, Trone",,,Cardin,,,,D
Department of Housing and Urban Development,2400000,,H/S,Sarbanes,,,Cardin,,,,D
Department of Labor,750000,,H/S,"Ruppersberger, Sarbanes",,,Cardin,,,,D
Department of Education,1250000,,H/S,Mfume,,,Cardin,,,,D
DOJ,650000,,S,,,,Cardin,,,,D
DOJ,650000,,S,,,,Cardin,,,,D
DOJ,2000000,,S,,,,Cardin,,,,D
DOC,120000,,S,,,,Cardin,,,,D
DOC,95000,,S,,,,Cardin,,,,D
FEMA,409000,,S,,,,Cardin,,,,D
Department of Transportation,5000000,,S,,,,Cardin,,,,D
Department of Transportation,5000000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,250000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,251000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,400000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,1400000,,S,,,,Cardin,,,,D
Department of Housing and Urban Development,3000000,,S,,,,Cardin,,,,D
DOC,150000,,S,,,,Cardin,,,,D
DOJ,834000,,S,,,,Cardin,,,,D
Army Corps of Engineers (Civil),8000,,S,,,,Cardin,,,,D
Army Corps of Engineers (Civil),390000,,S,,,,Cardin,,,,D
Army Corps of Engineers (Civil),5750000,,S,,,,Cardin,,,,D
Environmental Protection Agency,500000,,S,,,,Cardin,,,,D
Environmental Protection Agency,700000,,S,,,,Cardin,,,,D
Environmental Protection Agency,2000000,,S,,,,Cardin,,,,D
National Park Service,2000000,,S,,,,Cardin,,,,D
Small Business Administration,2250000,,S,,,,Cardin,,,,D
Small Business Administration,3000000,,S,,,,Cardin,,,,D
Department of Labor,500000,,S,,,,Cardin,,,,D
Department of Health & Human Services,83000,,S,,,,Cardin,,,,D
Department of Health & Human Services,5000000,,S,,,,Cardin,,,,D
Department of Health & Human Services,1150000,,S,,,,Cardin,,,,D
Department of Health & Human Services,917000,,S,,,,Cardin,,,,D
Department of Education,1550000,,S,,,,Cardin,,,,D
Department of Health & Human Services,2889000,,S,,,,Cardin,,,,D
Department of Education,750000,,S,,,,Cardin,,,,D
Department of Education,350000,,S,,,,Cardin,,,,D
DOJ,1600000,,H/S,Blunt Rochester,,,Carper,Coons,,,D
DOJ,1900000,,H/S,Blunt Rochester,,,Carper,Coons,,,D
DOC,3000000,,S,,,,Carper,Coons,,,D
Rural Development,100000,,S,,,,Carper,Coons,,,D
DOJ,749000,,S,,,,Carper,Coons,,,D
DOC,1290000,,S,,,,Carper,Coons,,,D
NASA,900000,,S,,,,Carper,Coons,,,D
Army Corps of Engineers (Civil),1200000,,S,,,,Carper,Coons,,,D
Department of Energy,2000000,,S,,,,Carper,Coons,,,D
Army Corps of Engineers (Civil),4000000,,S,,,,Carper,Coons,,,D
Department of Energy,5000000,,S,,,,Carper,Coons,,,D
Army Corps of Engineers (Civil),7650000,,S,,,,Carper,Coons,,,D
Air NG,17500000,,H/S,Blunt Rochester,,,Carper,Coons,,,D
Department of Health & Human Services,350000,,H/S,Blunt Rochester,,,Carper,Coons,,,D
Department of Housing and Urban Development,100000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,485000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,500000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,750000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,750000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,1500000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,2000000,,S,,,,Carper,Coons,,,D
Department of Housing and Urban Development,10000000,,S,,,,Carper,Coons,,,D
Environmental Protection Agency,80000,,S,,,,Carper,Coons,,,D
Small Business Administration,500000,,S,,,,Carper,Coons,,,D
National Park Service,500000,,S,,,,Carper,Coons,,,D
Small Business Administration,1050000,,S,,,,Carper,Coons,,,D
Department of Transportation,1120000,,S,,,,Carper,Coons,,,D
Environmental Protection Agency,1200000,,S,,,,Carper,Coons,,,D
Environmental Protection Agency,4800000,,S,,,,Carper,,,,D
Department of Health & Human Services,100000,,S,,,,Carper,,,,D
Department of Labor,1060000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,680000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,337000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,5000000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,2000000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,3500000,,S,,,,Carper,Coons,,,D
Department of Education,215000,,S,,,,Carper,Coons,,,D
Department of Education,250000,,S,,,,Carper,Coons,,,D
Department of Education,300000,,S,,,,Carper,Coons,,,D
Department of Education,163000,,S,,,,Carper,Coons,,,D
Department of Education,1016000,,S,,,,Carper,Coons,,,D
Department of Health & Human Services,1125000,PA,H/S,Thompson,,,Casey,,,,D
Department of Housing and Urban Development,975000,,H,Scanlon,,,Casey,,,,D
Department of Housing and Urban Development,1865624,,H,Houlahan,,,Casey,,,,D
Department of Housing and Urban Development,1500000,,H,Scanlon,,,Casey,,,,D
Department of Housing and Urban Development,2900000,,H,Wild,,,Casey,,,,D
Department of Housing and Urban Development,1400000,,H,Wild,,,Casey,,,,D
Department of Transportation,750000,,H/S,"Houlahan, Meuser",,,Casey,,,,D
Department of Housing and Urban Development,1000000,,H/S,Evans,,,Casey,,,,D
DOJ,400000,,H/S,Dean,,,Casey,,,,D
Department of Health & Human Services,1210000,,H/S,Reschenthaler,,,Casey,,,,R
NASA,160000,,S,,,,Casey,,,,D
FEMA,320000,,S,,,,Casey,,,,D
FEMA,184000,,S,,,,Casey,,,,D
Department of Transportation,1000000,,S,,,,Casey,,,,D
Department of Transportation,2000000,,S,,,,Casey,,,,D
Department of Transportation,635000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,500000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,500000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,500000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,650000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,750000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,950000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,1000000,,S,,,,Casey,,,,D
Department of Housing and Urban Development,1468000,,S,,,,Casey,,,,D
Rural Development,250000,,S,,,,Casey,,,,D
Natural Resources Conservation Service,1063000,,S,,,,Casey,,,,D
NASA,70000,,S,,,,Casey,,,,D
Department of Energy,2100000,,S,,,,Casey,,,,D
Army Corps of Engineers (Civil),12800000,,S,,,,Casey,,,,D
Small Business Administration,200000,,S,,,,Casey,,,,D
Small Business Administration,250000,,S,,,,Casey,,,,D
Small Business Administration,350000,,S,,,,Casey,,,,D
Environmental Protection Agency,376000,,S,,,,Casey,,,,D
Small Business Administration,400000,,S,,,,Casey,,,,D
Small Business Administration,400000,,S,,,,Casey,,,,D
Small Business Administration,400000,,S,,,,Casey,,,,D
National Park Service,500000,,S,,,,Casey,,,,D
National Park Service,500000,,S,,,,Casey,,,,D
Department of Transportation,500000,,S,,,,Casey,,,,D
Department of Transportation,750000,,S,,,,Casey,,,,D
Environmental Protection Agency,1000000,,S,,,,Casey,,,,D
Department of Transportation,1000000,,S,,,,Casey,,,,D
Environmental Protection Agency,2200000,,S,,,,Casey,,,,D
Department of Labor,500000,,S,,,,Casey,,,,D
Department of Labor,1000000,,S,,,,Casey,,,,D
Department of Labor,1000000,,S,,,,Casey,,,,D
Department of Labor,675000,,S,,,,Casey,,,,D
Department of Health & Human Services,268000,,S,,,,Casey,,,,D
Department of Health & Human Services,530000,,S,,,,Casey,,,,D
Department of Health & Human Services,23000,,S,,,,Casey,,,,D
Department of Health & Human Services,1900000,,S,,,,Casey,,,,D
Department of Health & Human Services,400000,,S,,,,Casey,,,,D
Department of Health & Human Services,400000,,S,,,,Casey,,,,D
Department of Health & Human Services,60000,,S,,,,Casey,,,,D
Department of Health & Human Services,220000,,S,,,,Casey,,,,D
Department of Education,1000000,,S,,,,Casey,,,,D
Department of Education,1000000,,S,,,,Casey,,,,D
Department of Education,75000,,S,,,,Casey,,,,D
Department of Education,160000,,S,,,,Casey,,,,D
Department of Education,231000,,S,,,,Casey,,,,D
Army Corps of Engineers (Civil),10000000,LA,H/S,Higgins,,,Cassidy,,,,D
Air Force,36000000,LA,H/S,Johnson,,,Cassidy,,,,D
Army Corps of Engineers (Civil),19333000,LA,H/S,Graves,Scalise,,Cassidy,,,,R
Army Corps of Engineers (Civil),300000,,H/S,Scalise,,,Cassidy,,,,R
NASA,5000000,,H/S,Scalise,,,Cassidy,,,,R
DOC,435000,,S,,,,Cassidy,,,,R
Department of Housing and Urban Development,6000000,,S,,,,Cassidy,,,,R
Department of Energy,9000000,,S,,,,Cassidy,,,,R
Environmental Protection Agency,500000,,S,,,,Cassidy,,,,R
Department of Transportation,1200000,,S,,,,Cassidy,,,,R
Environmental Protection Agency,8000000,,S,,,,Cassidy,,,,R
Department of Health & Human Services,1000000,,S,,,,Cassidy,,,,R
Department of Health & Human Services,7000000,,S,,,,Cassidy,,,,R
Department of Health & Human Services,250000,,S,,,,Cassidy,,,,R
DOC,765000,,H/S,Pingree,,,Collins,King,,,D
Rural Development,388888,,S,,,,Collins,King,,,R
DOJ,900000,,S,,,,Collins,King,,,R
Army Corps of Engineers (Civil),100000,,S,,,,Collins,King,,,R
Department of Energy,2000000,,S,,,,Collins,King,,,R
Department of Housing and Urban Development,411710,,H/S,Golden,,,Collins,King,,,D
Department of Housing and Urban Development,700000,,H/S,Pingree,,,Collins,King,,,D
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins,King,,,D
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins,King,,,D
Department of Housing and Urban Development,1700000,,H/S,Pingree,,,Collins,King,,,D
Department of Housing and Urban Development,1000000,,H/S,Golden,,,Collins,,,,D
Environmental Protection Agency,1700000,,H/S,Golden,,,Collins,King,,,D
